RowID;Data;Id;Ambiente;Nome_Rota;No Answer;Failed;Answered;Busy;Total;% No Answer;% Failed;% Answered;% Busy;
46;2020-04-02T03:00:00.000Z;25;2;EBS 5 - 59329;19358;9485;1026;10;29879;65%;32%;3%;0%
47;2020-04-02T03:00:00.000Z;26;2;EBS 4 - 59675;15714;9036;730;0;25480;62%;35%;3%;0%
48;2020-04-02T03:00:00.000Z;27;4;KMG Ypy ITX - Fixo;6673;3006;1060;118;10857;61%;28%;10%;1%
49;2020-04-02T03:00:00.000Z;28;4;Ypy ITX - Fixo;19403;9208;5451;472;34534;56%;27%;16%;1%
50;2020-04-02T03:00:00.000Z;36;1;EBS 3 - 60205;16086;15340;636;0;32062;50%;48%;2%;0%
51;2020-04-02T03:00:00.000Z;38;4;KMG - TenTec ITX Movel;33292;51424;5018;446;90180;37%;57%;6%;0%
52;2020-04-02T03:00:00.000Z;39;4;TenTec ITX Movel;832;282;4262;61;5437;15%;5%;78%;1%
53;2020-04-02T03:00:00.000Z;41;4;EBS 3 - 38482;64122;2723;667;0;67512;95%;4%;1%;0%
54;2020-04-02T03:00:00.000Z;47;1;EBS 11 - 44537;5856;18834;1052;0;25742;23%;73%;4%;0%
55;2020-04-02T03:00:00.000Z;47;4;Baldussi ITX - Movel;26;4;685;4;719;4%;1%;95%;1%
56;2020-04-02T03:00:00.000Z;49;2;KMG Supernova Telecom - Movel;1734;520;23;1;2278;76%;23%;1%;0%
57;2020-04-02T03:00:00.000Z;51;2;EBS 3 - 51747;15765;9194;1022;0;25981;61%;35%;4%;0%
58;2020-04-02T03:00:00.000Z;56;2;EBS 1 - 108386;21836;15069;627;0;37532;58%;40%;2%;0%
59;2020-04-02T03:00:00.000Z;59;1;EBS 13 - 67419;16531;10449;903;0;27883;59%;37%;3%;0%
60;2020-04-02T03:00:00.000Z;65;4;EBS 2 - 61029;22818;9205;1489;0;33512;68%;27%;4%;0%
61;2020-04-02T03:00:00.000Z;66;4;EBS 4 - 61027;37170;6927;1175;1;45273;82%;15%;3%;0%
62;2020-04-02T03:00:00.000Z;67;4;EBS 5 - 51748;13368;6629;1188;1;21186;63%;31%;6%;0%
63;2020-04-02T03:00:00.000Z;68;4;EBS 6 - 51723;8781;3755;636;0;13172;67%;29%;5%;0%
64;2020-04-02T03:00:00.000Z;69;4;EBS 7 - 60188;7059;6634;1135;0;14828;48%;45%;8%;0%
65;2020-04-02T03:00:00.000Z;72;4;EBS 9 - 44679;19980;6279;1171;0;27430;73%;23%;4%;0%
66;2020-04-02T03:00:00.000Z;73;2;EBS 6 - 60193;18802;9342;954;0;29098;65%;32%;3%;0%
67;2020-04-02T03:00:00.000Z;80;1;EBS 4 - 38006;5857;14060;769;0;20686;28%;68%;4%;0%
68;2020-04-02T03:00:00.000Z;100;1;EBS 1 - 58073;6782;13250;1331;0;21363;32%;62%;6%;0%
